feature,importance
jobType_JANITOR,0.1841312532220433
yearsExperience,0.18155696822853598
milesFromMetropolis,0.12675672345162187
major_NONE,0.08639511900672908
jobType_JUNIOR,0.07310958918068876
jobType_CEO,0.0471087892485656
jobType_SENIOR,0.03608467522547949
industry_EDUCATION,0.028876760955549963
industry_OIL,0.022753962240418205
industry_FINANCE,0.02240322842731841
degree_NONE,0.016615164516087452
jobType_MANAGER,0.016490907172633924
jobType_CTO,0.016345458346014332
industry_SERVICE,0.01519974799923552
jobType_CFO,0.01469520919316766
degree_DOCTORAL,0.013936715225095457
jobType_VICE_PRESIDENT,0.008599751879521474
industry_AUTO,0.007739379090418938
industry_WEB,0.007357886532159198
degree_HIGH_SCHOOL,0.006628929545550692
major_ENGINEERING,0.005159378837942565
industry_HEALTH,0.004641970939516349
major_BUSINESS,0.0037194018512956887
degree_BACHELORS,0.0032885270389505705
degree_MASTERS,0.0026093242365469965
major_LITERATURE,0.0024494958286530775
major_MATH,0.0013238492060570013
major_BIOLOGY,0.0011815740134421683
major_CHEMISTRY,0.0010693894813886377
major_PHYSICS,0.0007163743786345832
companyId_COMP43,0.000682927533742283
companyId_COMP13,0.0006743872110106605
companyId_COMP35,0.0006726977404840353
companyId_COMP3,0.0006682581099880334
companyId_COMP62,0.0006640737625604354
companyId_COMP16,0.000663263110267719
companyId_COMP54,0.0006595011893084858
companyId_COMP51,0.0006581450430958968
companyId_COMP37,0.0006567835699520736
companyId_COMP48,0.000654178502594133
companyId_COMP59,0.0006533877456163937
companyId_COMP24,0.0006530997437018841
companyId_COMP30,0.0006530193573884655
companyId_COMP34,0.0006519042214001259
companyId_COMP36,0.0006512627722931955
companyId_COMP15,0.0006503435812845121
companyId_COMP27,0.0006495865774604992
companyId_COMP40,0.0006491067688445065
companyId_COMP4,0.0006487067526032607
companyId_COMP39,0.0006476525702088652
companyId_COMP11,0.0006467972059967968
major_COMPSCI,0.0006466863265644431
companyId_COMP22,0.0006460645166880897
companyId_COMP32,0.0006459182887757095
companyId_COMP17,0.0006446829947068951
companyId_COMP1,0.000643540472780324
companyId_COMP55,0.0006428280295204857
companyId_COMP12,0.0006426480775700135
companyId_COMP46,0.0006422649183911554
companyId_COMP9,0.0006414266099926105
companyId_COMP18,0.0006409731286238217
companyId_COMP49,0.0006409111726398153
companyId_COMP2,0.0006407043938875627
companyId_COMP47,0.0006399450446423505
companyId_COMP45,0.0006399045835199547
companyId_COMP58,0.0006389137967572127
companyId_COMP21,0.0006378562580698984
companyId_COMP28,0.0006369129913396412
companyId_COMP25,0.000636630546755666
companyId_COMP31,0.0006364144348882995
companyId_COMP5,0.0006352421002259058
companyId_COMP7,0.0006336675315814173
companyId_COMP44,0.0006336268789449741
companyId_COMP41,0.0006333220928494999
companyId_COMP52,0.0006330543368030533
companyId_COMP0,0.000632786155606149
companyId_COMP14,0.0006315331689919463
companyId_COMP10,0.0006309421016286686
companyId_COMP42,0.0006306633221295717
companyId_COMP60,0.0006303309358143907
companyId_COMP20,0.0006298921334218766
companyId_COMP56,0.0006297308837526572
companyId_COMP6,0.0006294614210657771
companyId_COMP23,0.0006294498766405533
companyId_COMP33,0.0006288956586198956
companyId_COMP61,0.0006281812639133224
companyId_COMP50,0.00062772862204283
companyId_COMP19,0.0006243015452468018
companyId_COMP26,0.0006234718306717794
companyId_COMP57,0.0006232208222988435
companyId_COMP8,0.000621510472997145
companyId_COMP38,0.0006196634026082818
companyId_COMP53,0.000610361589973686
companyId_COMP29,0.0006091476969919151
